Category,Attribute
comfort,seat
comfort,seats
comfort,leg
comfort,comfortable
comfort,room
comfort,space
comfort,uncomfortable
comfort,seating
comfort,ac
comfort,window
comfort,legroom
comfort,legs
comfort,hot
comfort,standard
comfort,comfort
comfort,noise
comfort,buckle
in-flight_entertainment,entertainment
in-flight_entertainment,screen
in-flight_entertainment,inflight
in-flight_entertainment,movies
in-flight_entertainment,music
in-flight_entertainment,earphone
in-flight_entertainment,earphones
in-flight_entertainment,movie
in-flight_entertainment,games
in-flight_entertainment,game
in-flight_entertainment,entertainments
in-flight_entertainment,screens
customer_service,service
customer_service,customer
customer_service,staff
customer_service,verified
customer_service,passengers
customer_service,agent
customer_service,rude
customer_service,friendly
customer_service,customers
customer_service,attendant
customer_service,lounge
customer_service,attendants
customer_service,passenger
customer_service,issue
customer_service,help
customer_service,premium
customer_service,complaint
customer_service,response
customer_service,representative
customer_service,claim
customer_service,care
customer_service,children
customer_service,assistance
customer_service,services
customer_service,manager
customer_service,kids
customer_service,employee
customer_service,complaints
customer_service,smile
customer_service,blanket
monetary_values,money
monetary_values,ticket
monetary_values,tickets
monetary_values,economy
monetary_values,credit
monetary_values,refund
monetary_values,book
monetary_values,price
monetary_values,card
monetary_values,fee
monetary_values,cost
monetary_values,voucher
monetary_values,fees
monetary_values,reservation
monetary_values,charge
monetary_values,fare
monetary_values,prices
monetary_values,booking
monetary_values,cancellation
monetary_values,vouchers
monetary_values,compensation
monetary_values,value
monetary_values,dollars
monetary_values,expensive
monetary_values,cheaper
monetary_values,charges
monetary_values,discount
monetary_values,discounts
monetary_values,pay
monetary_values,tax
monetary_values,payment
monetary_values,package
monetary_values,bundle
cleanliness,clean
cleanliness,dirty
cleanliness,stain
cleanliness,smelly
cleanliness,vomit
cleanliness,bathroom
cleanliness,gross
cleanliness,cleaned
cleanliness,disinfect
cleanliness,disinfection
cleanliness,sanitize
cleanliness,santitation
check-in_boarding,time
check-in_boarding,hours
check-in_boarding,luggage
check-in_boarding,hour
check-in_boarding,bag
check-in_boarding,minutes
check-in_boarding,gate
check-in_boarding,day
check-in_boarding,due
check-in_boarding,boarding
check-in_boarding,baggage
check-in_boarding,bags
check-in_boarding,times
check-in_boarding,days
check-in_boarding,board
check-in_boarding,late
check-in_boarding,check
check-in_boarding,delay
check-in_boarding,departure
check-in_boarding,check-in
check-in_boarding,early
check-in_boarding,arrival
check-in_boarding,carry
check-in_boarding,delays
check-in_boarding,carry-on
check-in_boarding,aisle
check-in_boarding,direct
check-in_boarding,layover
check-in_boarding,connection
check-in_boarding,schedule
check-in_boarding,mechanical
check-in_boarding,suitcase
check-in_boarding,carrier
check-in_boarding,checked
check-in_boarding,bridge
check-in_boarding,shuttle
food_beverage,food
food_beverage,meal
food_beverage,drinks
food_beverage,water
food_beverage,meals
food_beverage,drink
food_beverage,snacks
food_beverage,wine
food_beverage,cheese
food_beverage,beef
food_beverage,chicken
food_beverage,vege
food_beverage,vegeatable
food_beverage,meat
food_beverage,sandwich
food_beverage,delicious
food_beverage,juice
food_beverage,coke
food_beverage,bevarage
food_beverage,lettuce
food_beverage,rice
food_beverage,pasta
food_beverage,noodle
food_beverage,stale
food_beverage,coffee
food_beverage,tea
food_beverage,sugar
food_beverage,butter
food_beverage,bread
food_beverage,jam
food_beverage,fruit
food_beverage,sweets
food_beverage,fruits
food_beverage,cake
food_beverage,cakes
food_beverage,cookies
